Course	Room	Teacher	Time	Students
359	STOAUD	190	1	1145 713 594 296 293 590 199 738 527 520 1025 443 441 35 34 1156 336 745 851 1081 6 1066 740 747 554 233 1058 1 614 613 912 942 684 622 495 20 405 933 1028 829 700 618 702 792 1132 588 625 453 454 656 975 978 188 11 17 888 324 759 205 204 206 693 68 1010 413 499 1177 861 363 380 386 387 573 252 251 939 731 734 502 500 467 461 960 877 1157 647 1116 649 1153 357 801 215 212 766 957 4 280 285 678 1093 987 989 981 771 302 1165 754 229 226 225 1020 1184 608 1114 481
651	STOAUD	246	3	343 710 298 299 597 195 193 445 642 339 99 96 746 555 230 613 689 137 490 24 23 404 402 932 937 1069 628 370 374 393 392 80 583 580 177 974 1123 651 18 884 887 205 72 804 669 125 1011 921 1134 830 388 259 509 507 637 167 1091 879 877 871 1152 284 677 263 262 260 55 530 538 114 110 119 424 309 825 826 821 1166 222 1027 721 152 1111 489 484 471
737	STOAUD	119	5	593 195 445 100 339 99 96 236 137 24 23 927 402 937 628 80 585 580 926 177 974 651 18 804 669 125 1011 1134 830 362 507 637 167 1091 879 1152 1070 284 1083 263 262 538 114 110 424 825 826 1166 1027 484 471
709	STOAUD	56	7	1175 1183 1162 1103 592 196 1017 441 447 106 38 905 336 1120 236 495 139 22 408 1069 1060 700 1170 170 180 1125 752 324 759 78 411 364 66 250 960 1104 766 957 1079 777 895 750 728 5 483
322	SHAAUD	1	7	340 293 593 444 332 742 551 230 146 687 491 395 248 977 652 764 883 887 1032 779 693 1010 923 837 362 573 734 500 460 164 968 1090 600 871 893 355 673 261 531 988 918 305 1166 757 1160 46 45
333	STOAUD	1	9	293 196 444 106 439 235 1007 491 589 519 620 977 1032 208 1143 692 698 834 1174 575 1172 636 1109 600 1033 283 671 673 261 50 985 115 45
297	SHAAUD	172	9	191 436 854 758 456 324 76 669 121 573 576 501 1079 675 771 754 153
729	STOAUD	1	13	810 741 395 601 1110 1123 764 883 836 837 250 531 305 841 821 46
313	STOAUD	188	17	527 443 35 642 554 689 927 1028 829 377 584 1132 588 626 451 181 11 13 16 204 206 1042 693 1010 776 732 468 467 9 1116 288 4 285 671 673 536 531 981 1026 1022 158 398 47 43 1173 489 481
478	STOAUD	33	19	813 592 275 447 37 90 141 912 687 1069 975 184 13 17 885 752 756 698 125 127 508 507 631 637 9 891 894 359 215 4 280 777 111 423 425 895 847 1165 1046 1184 1113 479
202	STOAUD	167	27	1061 199 524 523 39 236 26 403 87 587 626 624 174 973 654 188 867 885 326 779 70 662 543 540 381 258 252 602 631 633 901 1129 1076 678 1092 1171 534 421 423 609 470
15	STOAUD	22	35	278 1017 1025 6 96 26 88 81 85 454 457 175 977 1080 652 653 16 19 752 598 990 765 413 574 730 891 1116 766 1092 823 1165 1161 44 479
548	SHAAUD	107	35	343 810 106 645 332 1000 741 551 230 1054 949 491 601 1110 883 1140 664 697 998 410 250 164 600 893 355 671 672 988 841 821 1160 159 46
172	STOAUD	257	37	1183 1162 290 190 35 1053 614 495 584 924 170 656 253 662 542 127 255 467 9 891 647 210 1092 1022 609 1161 47 44 43 638
563	STOAUD	261	39	716 35 436 335 26 933 1060 170 656 978 1125 12 759 662 1128 1010 318 1177 861 380 385 258 647 767 1079 282 981 823 1037 154
